place_all, race_no, first, last, age, nation, club, time, medal, category
1 / 1 / 1,54915,David, Gatebe,35,RSA,TomTom Athletics Club - North West North,05:18:19,Gold,M SEN
2 / 2 / 2,45047,Ludwick, Mamabolo,39,RSA,Nedbank Running Club Gauteng North,05:24:05,Gold,M SEN
3 / 3 / 3,31020,Bongmusa, Mthembu,33,RSA,Arthur Ford AC,05:26:39,Gold,M SEN
4 / 4 / 4,54135,Mike, Fokoroni,39,ZIM,Nedbank Running Club International,05:35:09,Gold,M SEN
5 / 5 / 5,29889,Rufus, Photo,36,RSA,Pietersburg Road Runners,05:35:40,Gold,M SEN
6 / 6 / 1,46216,Claude, Moshiywa,42,RSA,Nedbank Running Club Gauteng North,05:36:25,Gold,M VET
7 / 7 / 6,21367,Siphiwe, Ndlela,27,RSA,Nedbank Running Club KZN,05:36:56,Gold,M SEN
8 / 8 / 7,25883,Max, King,36,USA,Nedbank Running Club International,05:37:27,Gold,M SEN
9 / 9 / 2,56834,Charles,Dibate  Tjiane,42,RSA,Maxed - Kwazulu Natal,05:37:40,Gold,M VET
10 / 10 / 8,27026,Mncedisi, Mkhize,36,RSA,Maxed - Kwazulu Natal,05:38:34,Gold,M SEN
11 / 11 / 9,14891,Teboho, Sello,37,LES,Maxed - Kwazulu Natal,05:39:37,Wally Hayward,M SEN
12 / 12 / 10,36557,Chimbidzikai, Andrew,38,ZIM,FAST WAY AC,05:42:49,Wally Hayward,M SEN
13 / 13 / 3,13790,Marko, Mambo,45,ZIM,Maxed - Kwazulu Natal,05:45:08,Wally Hayward,M VET
14 / 14 / 4,34081,Fritjof, Fagerlund,42,SWE,Nedbank Running Club International,05:45:25,Wally Hayward,M VET
15 / 15 / 11,59261,Mzwanele, Mlatsha,40,RSA,Bluewater Bay RR Club,05:45:58,Wally Hayward,M SEN
16 / 16 / 12,52634,Lucas, Nonyana,37,RSA,Maxed - Kwazulu Natal,05:46:53,Wally Hayward,M SEN
17 / 17 / 13,45244,Luzuko, Mdeliswa,34,RSA,Arthur Ford AC,05:48:15,Wally Hayward,M SEN
18 / 18 / 14,26805,Renier, Grobler,33,RSA,Nedbank Running Club Gauteng North,05:49:53,Wally Hayward,M SEN
19 / 19 / 15,16721,Brendan, Davies,39,AUS,,05:53:55,Wally Hayward,M SEN
20 / 20 / 16,53711,Thulane, Magagula,40,RSA,KPMG Running Club - CG,05:56:26,Wally Hayward,M SEN
